Entity,Code,Year,Annual CO₂ emissions (per capita)
Micronesia (country),FSM,1996,1.6534594
Colombia,COL,1996,1.6355026
Panama,PAN,1996,1.6044024
Wallis and Futuna,WLF,1996,1.5359464
Egypt,EGY,1996,1.4939458
Grenada,GRD,1996,1.4675287
Belize,BLZ,1996,1.4665986
Congo,COG,1996,1.4334344
Zimbabwe,ZWE,1996,1.3337514
Costa Rica,CRI,1996,1.2817494
Indonesia,IDN,1996,1.2566929
Bolivia,BOL,1996,1.2536842
Kyrgyzstan,KGZ,1996,1.2111462
Africa,,1996,1.1761504
Saint Vincent and the Grenadines,VCT,1996,1.1540056
Maldives,MDV,1996,1.0970018
Morocco,MAR,1996,1.0935374
Lower-middle-income countries,,1996,1.0858201
Bosnia and Herzegovina,BIH,1996,1.0848964
Angola,AGO,1996,1.060181
Dominica,DMA,1996,1.0592351
Namibia,NAM,1996,1.0436362
Fiji,FJI,1996,0.99485904
Peru,PER,1996,0.992363
Lesotho,LSO,1996,0.88830966
Nigeria,NGA,1996,0.88223714
Philippines,PHL,1996,0.86355734
Georgia,GEO,1996,0.8514128
India,IND,1996,0.8376247
Eswatini,SWZ,1996,0.8091266
Paraguay,PRY,1996,0.78927684
Tonga,TON,1996,0.7678352
El Salvador,SLV,1996,0.7614942
Armenia,ARM,1996,0.75792223
Samoa,WSM,1996,0.7048865
Pakistan,PAK,1996,0.6815979
Yemen,YEM,1996,0.68029267
Honduras,HND,1996,0.6484542
Guatemala,GTM,1996,0.6180344
Albania,ALB,1996,0.61672294
Nicaragua,NIC,1996,0.5916487
Bhutan,BTN,1996,0.55492467
Cape Verde,CPV,1996,0.5134602
Solomon Islands,SLB,1996,0.5124688
Cote d'Ivoire,CIV,1996,0.50813836
Vanuatu,VUT,1996,0.4823122
Djibouti,DJI,1996,0.4774245
Vietnam,VNM,1996,0.47342482
Tajikistan,TJK,1996,0.46785668
Papua New Guinea,PNG,1996,0.45760554
Cameroon,CMR,1996,0.4401117
Mauritania,MRT,1996,0.43747813
Low-income countries,,1996,0.4321997
Senegal,SEN,1996,0.4143357
Eritrea,ERI,1996,0.39684013
Tuvalu,TUV,1996,0.38043818
Sri Lanka,LKA,1996,0.38043812
Palestine,PSE,1996,0.3792651
Kiribati,KIR,1996,0.35380456
Sao Tome and Principe,STP,1996,0.35172755
Kenya,KEN,1996,0.33649155
Togo,TGO,1996,0.28457078
Ghana,GHA,1996,0.2722742
Zambia,ZMB,1996,0.20646931
Liberia,LBR,1996,0.19395056
Benin,BEN,1996,0.19081765
Guinea-Bissau,GNB,1996,0.17988971
Bangladesh,BGD,1996,0.17929077
Gambia,GMB,1996,0.17187542
Sudan,SDN,1996,0.17113605
Myanmar,MMR,1996,0.16553254
Comoros,COM,1996,0.16307868
Guinea,GIN,1996,0.1607118
Laos,LAO,1996,0.14867227
Cambodia,KHM,1996,0.1458796
Haiti,HTI,1996,0.13108276
Nepal,NPL,1996,0.10326465
Malawi,MWI,1996,0.08918363
Madagascar,MDG,1996,0.08698043
Tanzania,TZA,1996,0.081138305
Afghanistan,AFG,1996,0.080092125
Democratic Republic of Congo,COD,1996,0.078710996
Somalia,SOM,1996,0.07698248
Rwanda,RWA,1996,0.06909959
Mozambique,MOZ,1996,0.06790074
South Sudan,SSD,1996,0.067594305
Burkina Faso,BFA,1996,0.066348344
Mali,MLI,1996,0.063766934
Central African Republic,CAF,1996,0.06318038
Niger,NER,1996,0.06293437
Chad,TCD,1996,0.06155542
Sierra Leone,SLE,1996,0.053096797
Uganda,UGA,1996,0.047911186
Ethiopia,ETH,1996,0.04708171
Burundi,BDI,1996,0.04077624
East Timor,TLS,1996,0.0
